customerid,name,region,joindate,age,gender
1090,NICHOLAS DUNLAP,South,10/11/2020,43,M
1091,BRIANNA THOMAS,south-west,5/23/2023,67,F
1092,TIMOTHY HILL,West,9/7/2023,23,M
1093,CHRISTIAN MEDINA,East,2/4/2023,84,F
1094,ROBERT JONES,West,11/18/2023,44,M
1095,DR. JASON SCOTT,South,4/7/2021,70,F
1096,PATRICIA ROGERS,South,1/10/2024,20,M
1097,LAURA JONES,EAST,12/7/2023,85,F
1098,JEFFREY MAXWELL,West,1/27/2022,46,M
1099,LORI HOWARD,EAST,2/27/2021,71,F
1100,MICHAEL SIMON,EAST,12/27/2020,21,M
1101,RYAN MARTIN,south-west,11/14/2020,60,F
1102,ROBERT HANSEN,Central,11/19/2022,47,M
1103,MEGAN CHANDLER,East,6/25/2023,72,F
1104,DAVID HERRERA,West,4/1/2021,22,M
1105,TAYLOR CLARKE,Central,3/11/2023,61,F
1106,JENNIFER EWING,east,5/16/2023,48,M
1107,EMILY HOFFMAN,West,6/9/2023,73,F
1108,SHARON BAUTISTA,Central,7/31/2022,26,M
1109,AARON GARCIA,EAST,7/31/2023,63,F
1110,MELISSA GRIMES,South,3/14/2024,49,M
1111,RONALD CHAVEZ,south-west,6/24/2021,74,F
1112,JOSEPH FLORES,East,4/3/2021,33,M
1113,LOUIS JONES,Central,7/4/2021,64,F
1114,GRACE PRICE,South,3/25/2022,50,M
1115,GINA BANKS,West,9/16/2023,75,F
1116,MELISSA RIVERA,Central,10/25/2021,29,M
1117,AMANDA LANG,North,4/14/2024,65,F
1118,BRIANA ALVARADO,South,3/18/2022,51,M
1119,CAMERON HERNANDEZ,east,8/8/2022,76,F
1120,DANIEL MEYER,South,3/15/2024,31,M
1121,STEPHANIE GARRISON,East,8/21/2020,77,F
1122,CHRISTOPHER MARTINEZ,east,10/7/2021,52,M
1123,COLLEEN GREENE,south-west,8/21/2022,78,F
1124,MEGAN NOVAK,East,12/19/2022,36,M
1125,DEBBIE ANDREWS,West,5/22/2021,79,F
1126,LEE LUNA,east,1/19/2021,53,M
1127,GEORGE EDWARDS,Central,5/12/2023,80,F
1128,VINCENT DAY,North,7/3/2022,38,M
1129,KARINA JONES,East,11/5/2023,81,F
1130,MARY SANDOVAL,North,10/6/2020,54,M
1131,MARK GOMEZ,West,6/11/2020,82,F
1132,SCOTT WINTERS,West,9/20/2022,41,M
1133,VICTOR WAGNER,south-west,6/12/2021,83,F
1134,JOSEPH AGUILAR,West,12/5/2023,55,M
1135,CHRISTOPHER CHEN,South,9/10/2023,84,F
1136,SCOTT HERNANDEZ,South,2/9/2024,43,M
1137,JESSICA HARMON,south-west,11/5/2022,85,F
1138,BONNIE STEWART,South,4/19/2022,56,M
1139,HEATHER OLSON,Central,4/20/2021,20,F
1140,CARLA FLORES,EAST,9/30/2020,45,M
1141,DAVID PALMER,North,9/16/2022,57,F
1142,MARVIN HAMILTON,North,4/23/2022,21,M
1143,MISS CHELSEA CASTRO DDS,Central,2/23/2021,46,F
1144,BRIAN BROWNING,EAST,5/3/2023,58,M
1145,STEPHANIE POWELL,east,2/3/2023,22,F
1146,JONATHAN ANDRADE,south-west,6/7/2020,47,M
1147,WILLIAM PALMER,south-west,8/14/2023,59,F
1148,DEAN ALLISON,West,6/23/2021,23,M
1149,JORDAN ELLIOTT,North,5/13/2020,48,F
1150,BOBBY HUNTER,North,12/6/2020,60,M
1151,SABRINA LESTER,West,7/16/2022,24,F
1152,THOMAS GARCIA,east,9/14/2022,49,M
1153,MICHELLE MARTINEZ,East,7/31/2023,61,F
1154,EDWARD CASTILLO,North,10/1/2020,25,M
1155,RACHEL GOODMAN,North,4/10/2023,50,F
1156,DENNIS ACEVEDO,East,6/18/2023,62,M
1157,CHERYL WU,West,12/10/2021,26,F
1158,KELLY GALLAGHER,East,3/2/2024,51,M
1159,KELLI SMITH,North,1/28/2022,63,F
1160,PHILLIP SOTO,West,4/21/2023,27,M
1161,DAVID ELLIS,East,1/2/2023,52,F
1162,DEBORAH RICE,east,1/14/2022,64,M
1163,ELIZABETH VAUGHN,West,5/1/2023,28,F
1164,WILLIAM RAMSEY,North,5/4/2023,53,M
1165,RICHARD BURNETT,Central,7/24/2022,65,F
1166,DAVID MCCULLOUGH,south-west,12/15/2021,29,M
1167,TERRY FREDERICK,North,12/20/2021,54,F
1168,DENISE GONZALES,South,5/2/2022,66,M
1169,MICHAEL EDWARDS,south-west,9/26/2023,30,F
1170,ERIC DAVIS,North,10/15/2023,55,M
1171,RONALD MARQUEZ,south-west,4/21/2024,67,F
1172,ERIC BARR,EAST,2/1/2023,31,M
1173,DAVID KING MD,North,9/14/2022,56,F
1174,DEBORAH SAUNDERS,West,12/25/2021,68,M
1175,TERESA LOPEZ,West,10/20/2021,32,F
1176,ASHLEY WILLIAMS,EAST,11/24/2021,57,M
1177,KATHERINE WEST,east,11/1/2020,69,F
1178,KATHERINE KERR,EAST,11/13/2020,33,M
1179,DESIREE MILLER,EAST,12/21/2021,58,F
1180,JENNIFER SMITH,south-west,10/3/2020,70,M
1181,TIFFANY SMITH,East,4/7/2024,34,F
1182,JAMES GRAY,West,7/24/2020,59,M
1183,KENNETH GRAVES,East,5/8/2020,71,F
1184,BRITTNEY CHEN,EAST,7/20/2023,35,M
1185,CAMERON LEVINE,east,7/26/2021,60,F
1186,TIMOTHY WILLIAMS,West,9/28/2021,72,M
1187,KAYLA SOLOMON,North,6/10/2022,36,F
1188,ASHLEY TODD,North,9/4/2023,61,M
1189,JENNIFER FARRELL,North,11/18/2022,73,F
1190,ELIZABETH ROBINSON,south-west,12/27/2023,37,M
1191,KYLE SMITH JR.,South,10/31/2023,62,F
1192,GREGORY MEDINA,EAST,6/6/2020,74,M
1193,NANCY KING,South,5/23/2022,38,F
1194,CASEY BROWN,Central,2/9/2024,63,M
1195,MICHAEL LEE,south-west,8/22/2023,75,F
1196,DR. ELIZABETH JOHNSTON DDS,North,2/9/2022,39,M
1197,WILLIAM WILSON,West,4/4/2023,64,F
1198,CHRIS ALLEN,south-west,10/11/2022,76,M
1199,JAMES COOLEY,West,7/23/2020,40,F
1005,JESSICA MORA,South,8/5/2021,65,M
